xc,yb,section,surf,cp,std,,,,,,,,,,,,0.96556,0.98937
0.4,0.63223,10,U,-0.47134,,,,,,,,,,,,,,
0.3,0.63223,10,U,-0.6258,,,,,,,,,,,,,,
0.2,0.63223,10,U,-0.82705,,,,,,,,,,,,,,
0.15,0.63223,10,U,-0.96746,,,,,,,,,,,,,,
0.1,0.63223,10,U,-1.15936,,,,,,,,,,,,,,
0.05,0.63223,10,U,-1.6274,,,,,,,,,,,,,,
0.025,0.63223,10,U,-1.97843,,,,,,,,,,,,,,
0.0125,0.63223,10,U,-2.26861,,,,,,,,,,,,,,
0,0.63223,10,U,-0.64452,,,,,,,,,,,,,,
0.0125,0.63223,10,L,0.97022,,,,,,,,,,,,,,
0.025,0.63223,10,L,0.86257,,,,,,,,,,,,,,
0.05,0.63223,10,L,0.61919,,,,,,,,,,,,,,
0.1,0.63223,10,L,0.35709,,,,,,,,,,,,,,
0.15,0.63223,10,L,0.23072,,,,,,,,,,,,,,
0.2,0.63223,10,L,0.16051,,,,,,,,,,,,,,
0.3,0.63223,10,L,0.07158,,,,,,,,,,,,,,
0.4,0.63223,10,L,0.03882,,,,,,,,,,,,,,
0.5,0.63223,10,L,0.0669,,,,,,,,,,,,,,
0.6,0.63223,10,L,0.06222,,,,,,,,,,,,,,
0.7,0.63223,10,L,0.0669,,,,,,,,,,,,,,
0.8,0.63223,10,L,0.09498,,,,,,,,,,,,,,
0.9,0.63223,10,L,0.12775,,,,,,,,,,,,,,
0.98,0.63223,10,L,0.19327,,,,,,,,,,,,,,
0.98,0.67985,11,U,0.18659,,,,,,,,,,,,,,
0.9,0.67985,11,U,0.08562,,,,,,,,,,,,,,
0.8,0.67985,11,U,-0.01266,,,,,,,,,,,,,,
0.7,0.67985,11,U,-0.10627,,,,,,,,,,,,,,
0.6,0.67985,11,U,-0.22796,,,,,,,,,,,,,,
0.5,0.67985,11,U,-0.34497,,,,,,,,,,,,,,
0.4,0.67985,11,U,-0.46198,,,,,,,,,,,,,,
0.3,0.67985,11,U,-0.61643,,,,,,,,,,,,,,
0.2,0.67985,11,U,-0.82705,,,,,,,,,,,,,,
0.15,0.67985,11,U,-0.97214,,,,,,,,,,,,,,
0.1,0.67985,11,U,-1.15468,,,,,,,,,,,,,,
0.05,0.67985,11,U,-1.6137,,,,,,,,,,,,,,
0.025,0.67985,11,U,-1.90822,,,,,,,,,,,,,,
0.0125,0.67985,11,U,-2.24989,,,,,,,,,,,,,,
0,0.67985,11,U,-0.56963,,,,,,,,,,,,,,
0.0125,0.67985,11,L,0.97022,,,,,,,,,,,,,,
0.025,0.67985,11,L,0.83578,,,,,,,,,,,,,,
0.05,0.67985,11,L,0.58643,,,,,,,,,,,,,,
0.1,0.67985,11,L,0.34305,,,,,,,,,,,,,,
0.15,0.67985,11,L,0.210668,,,,,,,,,,,,,,
0.2,0.67985,11,L,0.14647,,,,,,,,,,,,,,
0.3,0.67985,11,L,0.07626,,,,,,,,,,,,,,
0.4,0.67985,11,L,0.03414,,,,,,,,,,,,,,
0.5,0.67985,11,L,0.02478,,,,,,,,,,,,,,
0.6,0.67985,11,L,0.03882,,,,,,,,,,,,,,
0.7,0.67985,11,L,0.05754,,,,,,,,,,,,,,
0.8,0.67985,11,L,0.09498,,,,,,,,,,,,,,
0.9,0.67985,11,L,0.12307,,,,,,,,,,,,,,
0.98,0.67985,11,L,0.16987,,,,,,,,,,,,,,
0.98,0.72747,12,U,0.19795,,,,,,,,,,,,,,
0.9,0.72747,12,U,0.09967,,,,,,,,,,,,,,
0.8,0.72747,12,U,-0.00798,,,,,,,,,,,,,,
0.7,0.72747,12,U,-0.11095,,,,,,,,,,,,,,
0.6,0.72747,12,U,-0.19988,,,,,,,,,,,,,,
0.5,0.72747,12,U,-0.31689,,,,,,,,,,,,,,
0.4,0.72747,12,U,-0.44326,,,,,,,,,,,,,,
0.3,0.72747,12,U,-0.59303,,,,,,,,,,,,,,
0.2,0.72747,12,U,-0.78493,,,,,,,,,,,,,,
0.15,0.72747,12,U,-0.9347,,,,,,,,,,,,,,
0.1,0.72747,12,U,-1.1266,,,,,,,,,,,,,,
0.05,0.72747,12,U,-1.57591,,,,,,,,,,,,,,
0.025,0.72747,12,U,-1.64144,,,,,,,,,,,,,,
0.0125,0.72747,12,U,-2.18905,,,,,,,,,,,,,,
0,0.72747,12,U,-0.63984,,,,,,,,,,,,,,
0.0125,0.72747,12,L,0.96086,,,,,,,,,,,,,,
0.025,0.72747,12,L,0.87661,,,,,,,,,,,,,,
0.05,0.72747,12,L,0.59579,,,,,,,,,,,,,,
0.1,0.72747,12,L,0.33837,,,,,,,,,,,,,,
0.15,0.72747,12,L,0.21468,,,,,,,,,,,,,,
0.2,0.72747,12,L,0.14179,,,,,,,,,,,,,,
0.3,0.72747,12,L,0.09498,,,,,,,,,,,,,,
0.4,0.72747,12,L,0.0435,,,,,,,,,,,,,,
0.5,0.72747,12,L,0.0435,,,,,,,,,,,,,,
0.6,0.72747,12,L,0.03414,,,,,,,,,,,,,,
0.7,0.72747,12,L,0.05754,,,,,,,,,,,,,,
0.8,0.72747,12,L,0.06094,,,,,,,,,,,,,,
0.9,0.72747,12,L,0.11839,,,,,,,,,,,,,,
0.98,0.72747,12,L,0.17923,,,,,,,,,,,,,,
0.98,0.77509,13,U,0.18859,,,,,,,,,,,,,,
0.9,0.77509,13,U,0.08094,,,,,,,,,,,,,,
0.8,0.77509,13,U,-0.01734,,,,,,,,,,,,,,
0.7,0.77509,13,U,-0.11095,,,,,,,,,,,,,,
0.6,0.77509,13,U,-0.19988,,,,,,,,,,,,,,
0.5,0.77509,13,U,-0.30285,,,,,,,,,,,,,,
0.4,0.77509,13,U,-0.42454,,,,,,,,,,,,,,
0.3,0.77509,13,U,-0.58367,,,,,,,,,,,,,,
0.2,0.77509,13,U,-0.78961,,,,,,,,,,,,,,
0.15,0.77509,13,U,-0.9347,,,,,,,,,,,,,,
0.1,0.77509,13,U,-1.09851,,,,,,,,,,,,,,
0.05,0.77509,13,U,-1.53379,,,,,,,,,,,,,,
0.025,0.77509,13,U,-1.81461,,,,,,,,,,,,,,
0.0125,0.77509,13,U,-2.175,,,,,,,,,,,,,,
0,0.77509,13,U,-0.49942,,,,,,,,,,,,,,
0.0125,0.77509,13,L,0.9749,,,,,,,,,,,,,,
0.025,0.77509,13,L,0.85321,,,,,,,,,,,,,,
0.05,0.77509,13,L,0.58643,,,,,,,,,,,,,,
0.1,0.77509,13,L,0.329,,,,,,,,,,,,,,
0.15,0.77509,13,L,0.21199,,,,,,,,,,,,,,
0.2,0.77509,13,L,0.12307,,,,,,,,,,,,,,
0.3,0.77509,13,L,0.06722,,,,,,,,,,,,,,
0.4,0.77509,13,L,0.03414,,,,,,,,,,,,,,
0.5,0.77509,13,L,0.03414,,,,,,,,,,,,,,
0.6,0.77509,13,L,0.03882,,,,,,,,,,,,,,
0.7,0.77509,13,L,0.06222,,,,,,,,,,,,,,
0.8,0.77509,13,L,0.07676,,,,,,,,,,,,,,
0.9,0.77509,13,L,0.11371,,,,,,,,,,,,,,
0.98,0.77509,13,L,0.16051,,,,,,,,,,,,,,
0.98,0.8227,14,U,0.19795,,,,,,,,,,,,,,
0.9,0.8227,14,U,0.0903,,,,,,,,,,,,,,
0.8,0.8227,14,U,-0.01734,,,,,,,,,,,,,,
0.7,0.8227,14,U,-0.08755,,,,,,,,,,,,,,
0.6,0.8227,14,U,-0.19052,,,,,,,,,,,,,,
0.5,0.8227,14,U,-0.28413,,,,,,,,,,,,,,
0.4,0.8227,14,U,-0.40592,,,,,,,,,,,,,,
0.3,0.8227,14,U,-0.55091,,,,,,,,,,,,,,
0.2,0.8227,14,U,-0.74281,,,,,,,,,,,,,,
0.15,0.8227,14,U,-0.88322,,,,,,,,,,,,,,
0.1,0.8227,14,U,-1.06107,,,,,,,,,,,,,,
0.05,0.8227,14,U,-1.49635,,,,,,,,,,,,,,
0.025,0.8227,14,U,-1.77015,,,,,,,,,,,,,,
0.0125,0.8227,14,U,-2.04395,,,,,,,,,,,,,,
0,0.8227,14,U,-0.37773,,,,,,,,,,,,,,
0.0125,0.8227,14,L,0.98426,,,,,,,,,,,,,,
0.025,0.8227,14,L,0.81577,,,,,,,,,,,,,,
0.05,0.8227,14,L,0.5677,,,,,,,,,,,,,,
0.1,0.8227,14,L,0.31964,,,,,,,,,,,,,,
0.15,0.8227,14,L,0.18859,,,,,,,,,,,,,,
0.2,0.8227,14,L,0.11371,,,,,,,,,,,,,,
0.3,0.8227,14,L,0.05286,,,,,,,,,,,,,,
