r,azim,z,Vmag,Vr,Vz,div,vort
1.0207,0.61299,0.10071,3.502,-0.37949,3.4814,-0.0095321,0.0018893
0.7423,0.61299,0.11552,10.974,-2.1372,-10.764,-0.0073656,-0.021229
0.77192,0.61299,0.11552,11.696,-1.7944,-11.558,-0.0072935,-0.012895
0.80451,0.61299,0.11552,11.698,-3.859,-11.043,-0.0071534,0.0091232
0.83413,0.61299,0.11552,10.792,-4.6557,-9.7361,-0.010154,0.010014
0.86671,0.61299,0.11552,9.8704,-3.7888,-9.1142,-0.0089558,0.013053
0.89633,0.61299,0.11552,8.8494,-0.45619,-8.8376,-0.025129,0.027839
0.92891,0.61299,0.11552,5.6082,2.6398,-4.9481,0.018601,0.034047
0.95853,0.61299,0.11552,5.4263,5.2504,1.3705,-0.047672,0.037276
0.99111,0.61299,0.11552,4.9829,2.3224,4.4085,-0.010673,0.013342
1.0207,0.61299,0.11552,4.0864,-0.46971,4.0594,0.008194,0.0030385
0.7423,0.61299,0.12737,10.55,-2.5195,-10.245,-0.031982,-0.0052178
0.77192,0.61299,0.12737,11.502,-2.2326,-11.283,0.0052297,0.020832
0.80451,0.61299,0.12737,11.509,-3.9453,-10.812,0.009018,0.0098031
0.83413,0.61299,0.12737,11.163,-4.5644,-10.187,-0.021749,0.013972
0.86671,0.61299,0.12737,10.446,-4.254,-9.541,-0.014432,-0.0024451
0.89633,0.61299,0.12737,9.7926,-2.364,-9.503,0.041658,0.034796
0.92891,0.61299,0.12737,7.0182,3.3778,-6.1519,0.0029237,0.030888
0.95853,0.61299,0.12737,6.5193,6.4396,1.0165,0.045589,0.007346
0.99111,0.61299,0.12737,6.2835,2.3355,5.8333,0.0039622,-0.0051577
1.0207,0.61299,0.12737,5.1346,-0.85165,5.0635,-0.0016888,0.0033001
0.7423,0.61299,0.13922,10.607,-2.5966,-10.285,-0.019241,-0.010201
0.77192,0.61299,0.13922,11.441,-2.8899,-11.07,0.018608,0.0019884
0.80451,0.61299,0.13922,11.471,-3.7752,-10.832,-0.024738,-0.0030628
0.83413,0.61299,0.13922,11.451,-4.6089,-10.482,-0.010249,0.00094894
0.86671,0.61299,0.13922,10.952,-4.3495,-10.051,-0.014461,0.0073567
0.89633,0.61299,0.13922,10.69,-2.7306,-10.336,-0.013979,0.0070117
0.92891,0.61299,0.13922,10.734,4.1133,-9.9143,-0.031293,-0.010468
0.95853,0.61299,0.13922,10.339,10.106,2.1807,0.010484,0.0087033
0.99111,0.61299,0.13922,7.9028,1.9769,7.6515,-0.024845,-0.004426
1.0207,0.61299,0.13922,5.9308,-1.522,5.7322,-0.011192,0.01571
0.7423,0.61299,0.15403,10.383,-3.1672,-9.8886,-0.009628,-0.033798
0.77192,0.61299,0.15403,10.745,-3.275,-10.234,0.0038102,-0.0053938
0.80451,0.61299,0.15403,11.631,-3.5792,-11.066,-0.0033345,0.013253
0.83413,0.61299,0.15403,11.951,-4.9018,-10.9,-0.0080094,0.00069181
0.86671,0.61299,0.15403,12.023,-5.1024,-10.886,-0.011828,0.019187
0.89633,0.61299,0.15403,12.65,-4.1123,-11.963,-0.0050993,0.0059487
0.92891,0.61299,0.15403,17.563,4.0337,-17.094,-0.033054,0.032314
0.95853,0.61299,0.15403,18.379,17.144,6.6237,-0.18887,0.40683
0.99111,0.61299,0.15403,10.469,-0.21775,10.467,0.009793,0.028365
1.0207,0.61299,0.15403,6.8399,-2.8275,6.2282,-0.013249,0.0096918
0.7423,0.61299,0.16587,9.753,-3.2233,-9.205,0.0080853,-0.020869
0.77192,0.61299,0.16587,10.525,-3.2131,-10.023,0.0026848,-0.0018123
0.80451,0.61299,0.16587,11.434,-4.1526,-10.653,0.013953,0.00090554
0.83413,0.61299,0.16587,12.018,-4.7972,-11.019,-0.013676,-0.00035407
0.86671,0.61299,0.16587,12.314,-5.6882,-10.922,-0.0095403,0.0076429
0.89633,0.61299,0.16587,13.756,-5.5413,-12.591,-0.0081546,0.0090251
0.92891,0.61299,0.16587,22.653,-2.63,-22.5,-0.036024,0.088664
0.95853,0.61299,0.16587,,1.8131,3.7112,0.30384,0.80851
0.99111,0.61299,0.16587,12.347,-3.5899,11.814,0.012399,0.017488
1.0207,0.61299,0.16587,7.6852,-4.2001,6.4359,-0.010617,0.015053
0.7423,0.61299,0.17772,8.9784,-3.5344,-8.2535,-0.010447,0.013524
0.77192,0.61299,0.17772,10.25,-3.5938,-9.5997,0.026774,0.0045031
0.80451,0.61299,0.17772,11.247,-4.6052,-10.261,-0.0032466,0.0023072
0.83413,0.61299,0.17772,11.934,-5.3278,-10.679,0.0023909,0.0023712
0.86671,0.61299,0.17772,12.778,-6.4345,-11.04,-0.013427,0.0063123
0.89633,0.61299,0.17772,14.574,-7.3933,-12.56,-0.0044795,0.0020774
0.92891,0.61299,0.17772,23.982,-11.645,-20.964,-0.020739,0.049469
0.95853,0.61299,0.17772,17.548,-15.238,8.7026,-0.13669,0.72318
0.99111,0.61299,0.17772,13.21,-7.3841,10.953,-0.013597,0.018014
1.0207,0.61299,0.17772,8.1729,-5.3359,6.1907,-0.023678,0.0050092
0.7423,0.61299,0.19253,8.4748,-3.8457,-7.552,-0.040795,0.02351
0.77192,0.61299,0.19253,9.7867,-3.8252,-9.0082,0.032075,-0.0072142
0.80451,0.61299,0.19253,10.692,-5.0195,-9.4402,-0.0063912,-0.0079941
0.83413,0.61299,0.19253,11.506,-5.5013,-10.105,0.012008,0.012629
0.86671,0.61299,0.19253,12.48,-6.8785,-10.414,0.0086643,0.0017572
0.89633,0.61299,0.19253,14.523,-8.6005,-11.702,-0.0067558,-0.0014064
0.92891,0.61299,0.19253,20.761,-15.317,-14.014,0.0039303,0.019434
0.95853,0.61299,0.19253,22.37,-22.314,1.5908,0.00058479,0.084221
0.99111,0.61299,0.19253,12.724,-10.319,7.4445,0.0014299,-0.02095
1.0207,0.61299,0.19253,8.1474,-6.3153,5.1476,-0.016706,0.0094812
0.7423,0.61299,0.20438,8.4011,-3.7834,-7.501,-0.032394,0.04096
0.77192,0.61299,0.20438,9.5919,-4.2937,-8.5772,0.019246,0.011632
0.80451,0.61299,0.20438,10.175,-4.7569,-8.9949,-0.011702,-0.0095897
0.83413,0.61299,0.20438,11.056,-5.7688,-9.4315,0.012733,-0.0033625
0.86671,0.61299,0.20438,12.016,-7.0769,-9.7115,-0.0026118,0.0070022
0.89633,0.61299,0.20438,14.006,-9.177,-10.581,0.0022234,-0.0026782
0.92891,0.61299,0.20438,17.743,-14.583,-10.107,0.0047208,0.01118
0.95853,0.61299,0.20438,18.485,-18.473,-0.66759,-0.0036607,0.018403
0.99111,0.61299,0.20438,11.564,-10.558,4.7156,-0.0061134,-0.00064019
1.0207,0.61299,0.20438,8.181,-7.0229,4.1961,-0.014707,0.01274
0.7423,0.91949,0.088861,11.32,-1.571,-11.211,-0.031263,-0.0098457
0.77192,0.91949,0.088861,11.814,-2.18,-11.611,-0.032986,-0.0034083
0.80451,0.91949,0.088861,11.022,-4.0416,-10.255,-0.02383,-0.008868
0.83413,0.91949,0.088861,9.9132,-4.0111,-9.0655,-0.032746,0.0032927
0.86671,0.91949,0.088861,7.1158,-1.5414,-6.9469,-0.10612,-0.0095376
0.89633,0.91949,0.088861,3.5183,0.97507,-3.3805,-0.031877,0.011668
0.92891,0.91949,0.088861,2.8422,2.6182,-1.106,-0.012351,0.0054816
0.95853,0.91949,0.088861,2.652,1.997,1.745,-0.015145,-0.0015511
0.99111,0.91949,0.088861,3.4356,0.8542,3.3277,-0.02149,-0.0010027
1.0207,0.91949,0.088861,3.7041,-0.32265,3.6901,0.042562,0.0089144
0.7423,0.91949,0.10071,11.37,-1.7874,-11.228,0.0082532,-0.0094047
0.77192,0.91949,0.10071,11.701,-2.801,-11.36,-0.03505,0.015329
0.80451,0.91949,0.10071,11.008,-3.7351,-10.355,-0.01955,0.0065902
0.83413,0.91949,0.10071,10.568,-3.8784,-9.8304,-0.024719,0.0017958
0.86671,0.91949,0.10071,8.3458,-2.4091,-7.9905,-0.0078328,0.060534
0.89633,0.91949,0.10071,5.3667,0.57274,-5.3361,-0.096055,0.062012
0.92891,0.91949,0.10071,4.7894,4.0987,-2.4777,-0.085451,0.071232
0.95853,0.91949,0.10071,3.8225,2.9204,2.4664,0.030491,-0.02
0.99111,0.91949,0.10071,4.0351,0.75426,3.964,0.0051407,0.011599
1.0207,0.91949,0.10071,4.0079,-0.56395,3.9681,0.012505,0.015007
0.7423,0.91949,0.11552,10.925,-2.8679,-10.542,-0.01403,0.025999
0.77192,0.91949,0.11552,11.42,-2.467,-11.15,-0.020534,0.0054208
0.80451,0.91949,0.11552,11.203,-3.746,-10.558,-0.020636,0.015817
0.83413,0.91949,0.11552,11.043,-3.974,-10.303,-0.016773,0.0042909
0.86671,0.91949,0.11552,9.9171,-3.3378,-9.3385,0.0032652,0.020398
0.89633,0.91949,0.11552,7.7158,-0.037166,-7.7157,-0.025919,0.023408
0.92891,0.91949,0.11552,6.7913,5.4226,-4.0886,-0.006265,0.03851
0.95853,0.91949,0.11552,5.4024,3.7567,3.8824,-0.025048,0.0012977
0.99111,0.91949,0.11552,5.2044,0.55309,5.1749,0.0089472,0.0079896
1.0207,0.91949,0.11552,4.2647,-1.1028,4.1197,0.037043,0.0077538
0.7423,0.91949,0.12737,10.448,-3.2115,-9.9423,-0.011859,0.011425
0.77192,0.91949,0.12737,11.156,-2.7865,-10.802,0.017735,0.0018846
0.80451,0.91949,0.12737,11.191,-3.5083,-10.626,-0.030293,0.010822
0.83413,0.91949,0.12737,11.518,-4.1472,-10.745,-0.029628,0.004442
0.86671,0.91949,0.12737,10.91,-3.4492,-10.351,-0.0099688,0.0077097
0.89633,0.91949,0.12737,10.113,0.23819,-10.111,-0.027803,-0.012578
0.92891,0.91949,0.12737,10.239,8.4842,-5.7322,-0.030428,-0.0013546
0.95853,0.91949,0.12737,8.1159,5.6665,5.8102,0.058643,0.0050863
0.99111,0.91949,0.12737,6.2822,-0.014653,6.2822,0.013141,0.0084368
